"unique_ID","species","Long","Lat","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
218,"Eucalyptus neutra",118.736944444444,-34.3952777777778,"158","113","56","3217","269","68","201","119","199","199","118","519","66","18","39","181","66","68","178"
219,"Eucalyptus decurva",118.62,-34.5183333333333,"152","110","56","3080","259","64","195","114","190","191","114","507","68","17","41","193","62","73","193"
220,"Eucalyptus notactiles",118.732222222222,-34.5927777777778,"156","109","57","2989","260","69","191","119","193","194","119","569","75","20","41","214","69","73","214"
221,"Eucalyptus redunca subsp. redunca",118.732222222222,-34.5927777777778,"156","109","57","2989","260","69","191","119","193","194","119","569","75","20","41","214","69","73","214"
222,"Eucalyptus lehmannii subsp. lehmannii",118.719444444444,-34.5841666666667,"156","109","57","2989","260","69","191","119","193","194","119","569","75","20","41","214","69","73","214"
223,"Eucalyptus buprestium",118.582777777778,-34.5077777777778,"151","110","56","3101","258","63","195","113","190","190","113","502","69","16","42","195","61","74","195"
224,"Eucalyptus pachyloma",118.380277777778,-34.5147222222222,"151","110","55","3169","260","63","197","112","179","192","112","483","72","13","46","198","58","75","198"
225,"Eucalyptus acies",118.406944444444,-34.8897222222222,"154","102","57","2821","249","71","178","120","177","191","120","635","105","14","57","286","65","84","286"
226,"Eucalyptus x missilis (E. angulosa x E. cornuta)",118.407777777778,-34.895,"154","102","57","2821","249","71","178","120","177","191","120","635","105","14","57","286","65","84","286"
227,"Eucalyptus decipiens",117.955833333333,-34.6555555555556,"152","105","53","3236","261","65","196","121","193","194","112","676","98","22","43","259","77","87","256"
229,"Corymbia calophylla",118.074166666667,-34.3708333333333,"147","112","52","3580","268","55","213","112","192","193","103","457","68","14","44","185","58","66","183"
230,"Eucalyptus wandoo subsp. wandoo",118.069166666667,-32.3536111111111,"168","137","49","4920","325","48","277","118","215","231","108","342","58","11","52","154","42","45","148"
231,"Eucalyptus erectifolia",118.067222222222,-34.3577777777778,"147","112","52","3580","268","55","213","112","192","193","103","457","68","14","44","185","58","66","183"
232,"Eucalyptus xanthonema (subsp. apposita)",118.119722222222,-34.3352777777778,"142","112","52","3581","264","50","214","108","175","188","98","454","68","13","46","186","59","69","185"
233,"Eucalyptus hebetifolia (E. medialis)",118.192222222222,-34.3211111111111,"153","113","53","3529","273","60","213","119","198","198","109","425","62","14","42","168","54","61","165"
234,"Eucalyptus spathulata subsp. spathulata",117.749166666667,-33.6877777777778,"157","124","50","4241","299","55","244","115","211","212","105","415","66","11","52","180","47","47","178"
235,"Eucalyptus phaenophylla",118.375833333333,-33.5525,"160","126","51","4290","301","54","247","116","201","215","106","353","50","14","41","140","53","53","136"
236,"Eucalyptus phaenophylla",118.376944444444,-33.5311111111111,"161","127","51","4318","302","54","248","117","202","216","107","352","50","14","41","141","53","53","135"
